Table S1- Differentially expressed genes for CHD8-A and CHD8-B human derived neurons compared to the isogenic control. 									
gene	baseMean_CHD8KO_lineA	log2FoldChange_CHD8KO_lineA	lfcSE_CHD8KO_lineA	pvalue_CHD8KO_lineA	log2FoldChange_CHD8KO_lineB	lfcSE_CHD8KO_lineB	pvalue_CHD8KO_lineB	padj_CHD8KO_lineB	meanLFC_bothLines
A2MP1	11.2497773	-2.898218457	0.319865723	1.30E-19	-2.787536837	0.318678456	2.19E-18	2.17E-15	-2.842877647
ABCA1	110.9874216	-1.158157996	0.184187618	3.22E-10	-1.232590404	0.188044431	5.57E-11	1.35E-08	-1.1953742
ACAT2	144.8988522	-0.703764792	0.156763993	7.14E-06	-0.876170407	0.160878806	5.15E-08	5.81E-06	-0.7899676
ACTB	3634.787295	-0.471932841	0.106898908	1.01E-05	-0.313215176	0.107002868	0.003420661	0.054553429	-0.392574009
ACTR1A	163.1706743	-0.478509345	0.150990295	0.001528909	-0.407833403	0.152934997	0.007659756	0.095769898	-0.443171374
ACYP1	83.70774945	0.630052259	0.192355085	0.001054884	0.693017528	0.194368196	0.000363179	0.010136109	0.661534893
ADCYAP1	14.15930415	1.171286435	0.311587984	0.000170534	1.069532997	0.313257016	0.000639614	0.015369366	1.120409716
AHCY	49.33368895	-1.052905739	0.22829989	3.99E-06	-0.785546404	0.229314093	0.000613364	0.015028647	-0.919226071
AKAP9	240.8104415	0.711386622	0.167642035	2.20E-05	0.577472672	0.169166618	0.00064103	0.015369366	0.644429647
ALCAM	206.8457258	0.674148251	0.179902551	0.000178751	0.912142252	0.180310856	4.22E-07	3.49E-05	0.793145251
ALG9	161.7615514	-0.618780509	0.161155611	0.000123212	-0.436910352	0.16229447	0.007100705	0.090854435	-0.52784543
AMER2	8.90169966	0.850994751	0.319116975	0.007659608	1.00816298	0.319238779	0.001588438	0.030706354	0.929578866
AMOT	37.7653988	-0.832385889	0.258259091	0.001268267	-0.805977288	0.261239516	0.002034124	0.037133681	-0.819181588
ANK3	131.7162475	1.28743725	0.17789051	4.58E-13	1.104459101	0.180454619	9.33E-10	1.98E-07	1.195948176
ANKRD17	207.718874	0.369687154	0.140488623	0.008502429	0.461517896	0.141799103	0.001134999	0.024016881	0.415602525
ANO5	17.79070925	0.91297316	0.302401481	0.002535466	1.185874319	0.302850052	9.01E-05	0.00325916	1.04942374
ANXA5	73.24872457	-0.816031293	0.191581056	2.05E-05	-0.7775835	0.19498519	6.67E-05	0.002533279	-0.796807397
AP1S2	283.9980629	0.464961406	0.137709396	0.000734422	0.3838773	0.139328595	0.005865735	0.079615325	0.424419353
ASTN1	11.81251776	1.025091671	0.316114004	0.00118365	1.082247683	0.316940779	0.000638597	0.015369366	1.053669677
ASTN2	14.90859415	1.032567348	0.312699697	0.00095962	0.900339621	0.314262817	0.004171071	0.062444128	0.966453484
ATP6V0E1	166.2520035	-0.750771305	0.15264343	8.72E-07	-0.653839912	0.154476963	2.31E-05	0.00106099	-0.702305608
ATP6V1A	450.3063252	0.811738565	0.120140216	1.41E-11	0.572104676	0.12174727	2.61E-06	0.000164336	0.69192162
B2M	124.5584538	-0.489696574	0.178933106	0.006204796	-0.568578106	0.181866373	0.001769902	0.033560498	-0.52913734
B3GALNT1	38.85734644	0.871312967	0.260955195	0.000840996	0.934666434	0.262818702	0.000376091	0.010431276	0.902989701
BACH2	57.84376446	0.666853252	0.221306325	0.002584583	0.628012086	0.224204213	0.005093319	0.071748321	0.647432669
BAI3	27.42012539	1.263909269	0.273356086	3.77E-06	0.790282998	0.279085822	0.004630351	0.066592054	1.027096134
BCAT1	384.0322097	-1.598853924	0.122824357	9.74E-39	-1.331367864	0.123352379	3.71E-27	9.65E-24	-1.465110894
BDH2	41.73849186	-1.057988753	0.232119184	5.17E-06	-1.112103687	0.237358328	2.80E-06	0.00017456	-1.08504622
BEX5	24.85119522	-1.074547964	0.286919923	0.000180312	-0.772125317	0.287411601	0.007220942	0.091735753	-0.92333664
BTBD10	135.2592	0.700371973	0.177201484	7.74E-05	0.589575828	0.179525147	0.001023141	0.022125112	0.6449739
BTN2A2	17.2532094	-1.284854187	0.296377722	1.46E-05	-1.074523146	0.29780901	0.000308454	0.009032133	-1.179688666
BUB1	42.12168184	-0.77759528	0.241121547	0.001260123	-0.703913658	0.243989482	0.003913933	0.059855022	-0.740754469
C16orf87	101.9446388	-0.532717666	0.173058654	0.002082207	-0.625407407	0.176994349	0.000410115	0.011269953	-0.579062537
C2orf80	50.62473247	1.569234768	0.263824423	2.71E-09	1.773635342	0.264532159	2.02E-11	5.30E-09	1.671435055
C6orf62	368.2909848	-0.370998605	0.127475398	0.003610189	-0.387781213	0.128894725	0.002625312	0.044209586	-0.379389909
C8orf59	221.8723724	-0.650154907	0.174581328	0.000196028	-0.490555748	0.175429624	0.005168967	0.072357437	-0.570355327
CADM1	551.6113328	-0.393913421	0.117362145	0.000789664	-0.408000899	0.118432864	0.000571065	0.014448108	-0.40095716
CADM2	44.58147201	-1.431014596	0.231454439	6.30E-10	-2.022499329	0.245657708	1.83E-16	1.16E-13	-1.726756962
CALB1	17.08155955	0.928471847	0.299195168	0.001914199	0.980208259	0.300976597	0.00112692	0.023906239	0.954340053
CALCOCO2	83.39198402	-0.514741717	0.186603165	0.005807027	-0.725253742	0.191902552	0.000157282	0.005145355	-0.61999773
CAMK2B	11.28430096	0.943596718	0.315703886	0.002800146	0.83865325	0.317091761	0.008173239	0.099584168	0.891124984
CASK	113.7312396	-0.768601989	0.173509679	9.43E-06	-0.512219621	0.174372418	0.003308662	0.053146878	-0.640410805
